,Full Review Quota,id
0,TRUE,8e826cfa-608b-4409-9203-4ae1b7c5550a
1,TRUE,8008686c-7de9-42d8-b27a-2abbebd44e33
2,TRUE,a13619cd-e1eb-4b49-9a19-e0e423577037
3,TRUE,ee2b28ae-0630-489a-9287-d6e677404815
4,TRUE,894ed6f3-b99c-44fc-beb5-1e4858e20224
5,TRUE,4282ce75-1089-4aac-9bfe-55e65a6312d4
6,TRUE,bee21ae1-487a-454c-a17d-1d097d9045ab
7,TRUE,7d50df7d-8b0d-4b43-a90e-375298ecddb3
8,TRUE,34a6e61c-0ee3-4803-8728-e6ac8f7582d3
9,FALSE,42afa2ed-5735-42df-b6a4-e1b6b6e6d151
10,FALSE,47d768f6-3d10-4a8a-90ed-31388f9ae08a
11,TRUE,5338d673-a089-4ad4-9d6c-a8184fd16a4d
12,FALSE,45b7d43f-50d4-49e3-91ca-3a4e2d8bc810
13,TRUE,eaba192c-e945-4c8a-a800-47907aa33c50
14,FALSE,b44a1a08-334f-4223-93e1-1fde6f090f75
15,TRUE,2da9f25d-e3cf-4633-8e15-233157071d75
16,FALSE,c69dba1f-d5db-4414-a23f-888244ee1945
17,FALSE,5b08227b-83aa-4169-b91a-04233fee9920
18,TRUE,139b90b3-ca25-4ccb-97c9-0dbf3fa1cc3a
19,TRUE,2fec5177-e9a6-45cc-9dfd-bff6fe5f4bc0
20,TRUE,e5203f9d-8874-4f97-882a-fceb05863ea5
21,TRUE,3516c055-4219-4558-bf60-71f2379c8e29
